date,state,disease,value
2025-10-04T00:00:00.000,Kansas,Influenza,10.0
2025-10-04T00:00:00.000,Kansas,value,49.0
2025-10-11T00:00:00.000,Kansas,COVID-19,43.0
2025-10-11T00:00:00.000,Kansas,Influenza,13.0
2025-10-11T00:00:00.000,Kansas,value,43.0
2025-10-18T00:00:00.000,Kansas,COVID-19,34.0
2025-10-18T00:00:00.000,Kansas,Influenza,9.0
2025-10-18T00:00:00.000,Kansas,value,34.0
2025-10-25T00:00:00.000,Kansas,COVID-19,17.0
2025-10-25T00:00:00.000,Kansas,Influenza,16.0
2025-10-25T00:00:00.000,Kansas,value,17.0
2025-11-01T00:00:00.000,Kansas,COVID-19,29.0
2025-11-01T00:00:00.000,Kansas,Influenza,10.0
2025-11-01T00:00:00.000,Kansas,value,29.0
2025-11-08T00:00:00.000,Kansas,COVID-19,24.0
2025-11-08T00:00:00.000,Kansas,Influenza,6.0
2025-11-08T00:00:00.000,Kansas,value,24.0
2025-11-15T00:00:00.000,Kansas,COVID-19,36.0
2025-11-15T00:00:00.000,Kansas,Influenza,10.0
2025-11-15T00:00:00.000,Kansas,value,36.0
2025-11-22T00:00:00.000,Kansas,COVID-19,22.0
2025-11-22T00:00:00.000,Kansas,Influenza,8.0
2025-11-22T00:00:00.000,Kansas,value,22.0
2025-11-29T00:00:00.000,Kansas,COVID-19,30.0
2025-11-29T00:00:00.000,Kansas,Influenza,13.0
2025-11-29T00:00:00.000,Kansas,value,30.0
2025-12-06T00:00:00.000,Kansas,COVID-19,43.0
2025-12-06T00:00:00.000,Kansas,Influenza,22.0
2025-12-06T00:00:00.000,Kansas,value,43.0
2025-12-13T00:00:00.000,Kansas,COVID-19,49.0
2025-12-13T00:00:00.000,Kansas,Influenza,30.0
2025-12-13T00:00:00.000,Kansas,value,49.0
2025-12-20T00:00:00.000,Kansas,COVID-19,86.0
2025-12-20T00:00:00.000,Kansas,Influenza,101.0
2025-12-20T00:00:00.000,Kansas,value,86.0
2025-12-27T00:00:00.000,Kansas,COVID-19,119.0
2025-12-27T00:00:00.000,Kansas,Influenza,267.0
2025-12-27T00:00:00.000,Kansas,value,119.0
2026-01-03T00:00:00.000,Kansas,COVID-19,142.0
2026-01-03T00:00:00.000,Kansas,Influenza,352.0
2026-01-03T00:00:00.000,Kansas,value,142.0
2026-01-10T00:00:00.000,Kansas,COVID-19,127.0
2026-01-10T00:00:00.000,Kansas,Influenza,268.0
2026-01-10T00:00:00.000,Kansas,value,127.0
2026-01-17T00:00:00.000,Kansas,COVID-19,99.0
2026-01-17T00:00:00.000,Kansas,Influenza,189.0
2026-01-17T00:00:00.000,Kansas,value,99.0
2026-01-24T00:00:00.000,Kansas,COVID-19,85.0
2026-01-24T00:00:00.000,Kansas,Influenza,208.0
2026-01-24T00:00:00.000,Kansas,value,85.0
2026-01-31T00:00:00.000,Kansas,COVID-19,66.0
2026-01-31T00:00:00.000,Kansas,Influenza,208.0
2026-01-31T00:00:00.000,Kansas,value,66.0
2026-02-07T00:00:00.000,Kansas,COVID-19,57.0
2026-02-07T00:00:00.000,Kansas,Influenza,191.0
2026-02-07T00:00:00.000,Kansas,value,57.0
2024-09-21T00:00:00.000,Nebraska,COVID-19,27.0
2024-09-21T00:00:00.000,Nebraska,Influenza,1.0
2024-09-21T00:00:00.000,Nebraska,value,27.0
2024-09-28T00:00:00.000,Nebraska,COVID-19,15.0
2024-09-28T00:00:00.000,Nebraska,Influenza,1.0
2024-09-28T00:00:00.000,Nebraska,value,15.0
2024-09-21T00:00:00.000,New Hampshire,COVID-19,21.0
2024-09-21T00:00:00.000,New Hampshire,Influenza,0.0
2024-09-21T00:00:00.000,New Hampshire,value,21.0
2024-09-28T00:00:00.000,New Hampshire,COVID-19,32.0
2024-09-28T00:00:00.000,New Hampshire,Influenza,0.0
2024-09-28T00:00:00.000,New Hampshire,value,32.0
2024-09-21T00:00:00.000,Oklahoma,COVID-19,12.0
2024-09-21T00:00:00.000,Oklahoma,Influenza,5.0
2024-09-21T00:00:00.000,Oklahoma,value,12.0
2024-09-28T00:00:00.000,Oklahoma,COVID-19,17.0
2024-09-28T00:00:00.000,Oklahoma,Influenza,5.0
2024-09-28T00:00:00.000,Oklahoma,value,17.0
2024-09-21T00:00:00.000,Pennsylvania,COVID-19,675.0
2024-09-21T00:00:00.000,Pennsylvania,Influenza,83.0
2024-09-21T00:00:00.000,Pennsylvania,value,675.0
2024-09-28T00:00:00.000,Pennsylvania,COVID-19,688.0
2024-09-28T00:00:00.000,Pennsylvania,Influenza,45.0
