date,state,disease,value
2024-09-21,Michigan,COVID-19,0.8375
2024-09-21,Michigan,Influenza,1.0061
2024-09-21,Minnesota,COVID-19,0.8756
2024-09-21,Minnesota,Influenza,0.9934
2024-09-21,Mississippi,COVID-19,0.8552
2024-09-21,Mississippi,Influenza,1.0494
2024-09-21,Missouri,COVID-19,NA
2024-09-21,Missouri,Influenza,NA
2024-09-21,Montana,COVID-19,0.9193
2024-09-21,Montana,Influenza,NA
2024-09-21,Nebraska,COVID-19,0.9016
2024-09-21,Nebraska,Influenza,NA
2024-09-21,Nevada,COVID-19,0.8523
2024-09-21,Nevada,Influenza,1.0087
2024-09-21,New Hampshire,COVID-19,0.9409
2024-09-21,New Hampshire,Influenza,1.037
2024-09-21,New Jersey,COVID-19,0.8306
2024-09-21,New Jersey,Influenza,0.9942
2024-09-21,New Mexico,COVID-19,0.974
2024-09-21,New Mexico,Influenza,1.0477
2024-09-21,New York,COVID-19,0.8243
2024-09-21,New York,Influenza,0.9416
2024-09-21,North Carolina,COVID-19,0.7952
2024-09-21,North Carolina,Influenza,0.9354
2024-09-21,North Dakota,COVID-19,0.9423
2024-09-21,North Dakota,Influenza,NA
2024-09-21,Ohio,COVID-19,0.7487
2024-09-21,Ohio,Influenza,0.995
2024-09-21,Oklahoma,COVID-19,0.8857
2024-09-21,Oklahoma,Influenza,1.0203
2024-09-21,Oregon,COVID-19,0.8657
2024-09-21,Oregon,Influenza,1.0353
2024-09-21,Pennsylvania,COVID-19,0.7931
2024-09-21,Pennsylvania,Influenza,1.0071
2024-09-21,Rhode Island,COVID-19,0.9233
2024-09-21,Rhode Island,Influenza,NA
2024-09-21,South Carolina,COVID-19,0.8033
2024-09-21,South Carolina,Influenza,1.0444
2024-09-21,South Dakota,COVID-19,0.9056
2024-09-21,South Dakota,Influenza,NA
2024-09-21,Tennessee,COVID-19,0.8253
2024-09-21,Tennessee,Influenza,1.0316
2024-09-21,Texas,COVID-19,0.8417
2024-09-21,Texas,Influenza,0.9993
2024-09-21,United States,COVID-19,0.8788
2024-09-21,United States,Influenza,0.9896
2024-09-21,Utah,COVID-19,0.8722
2024-09-21,Utah,Influenza,1.0004
2024-09-21,Vermont,COVID-19,0.8918
2024-09-21,Vermont,Influenza,NA
2024-09-21,Virginia,COVID-19,0.812
2024-09-21,Virginia,Influenza,1.0255
2024-09-21,Washington,COVID-19,0.889
2024-09-21,Washington,Influenza,1.048
2024-09-21,West Virginia,COVID-19,0.7842
2024-09-21,West Virginia,Influenza,1.0635
2024-09-21,Wisconsin,COVID-19,NA
2024-09-21,Wisconsin,Influenza,NA
2024-09-21,Wyoming,COVID-19,NA
2024-09-21,Wyoming,Influenza,NA
2024-09-22,Alabama,COVID-19,0.9241
2024-09-22,Alabama,Influenza,1.0269
2024-09-22,Alaska,COVID-19,0.8256
2024-09-22,Alaska,Influenza,0.8903
2024-09-22,Arizona,COVID-19,0.945
